City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Tuktoyaktuk,CA,2020-08-02 22:03:55,69.45,-133.04,46.4,93,90,16.11,light rain
62,Kaitangata,NZ,2020-08-02 21:54:05,-46.28,169.85,50.0,84,100,3.0,overcast clouds
63,Beringovskiy,RU,2020-08-02 21:54:26,63.05,179.32,47.75,74,100,17.18,overcast clouds
64,Jalu,LY,2020-08-02 21:53:56,29.03,21.55,82.54,46,0,9.71,clear sky
65,Te Anau,NZ,2020-08-02 22:03:56,-45.42,167.72,47.37,87,40,1.05,scattered clouds
66,Sampit,ID,2020-08-02 22:03:56,-2.53,112.95,73.13,99,86,1.86,moderate rain
67,Clyde River,CA,2020-08-02 22:03:56,70.47,-68.59,53.6,76,90,9.17,light rain
68,Yar-Sale,RU,2020-08-02 22:03:56,66.83,70.83,62.62,61,99,14.41,overcast clouds
69,Krasnohrad,UA,2020-08-02 22:03:56,49.38,35.44,54.79,92,2,5.3,clear sky
70,Biak,ID,2020-08-02 22:03:57,-0.91,122.88,74.5,85,100,2.68,overcast clouds
71,Chinsali,ZM,2020-08-02 22:03:57,-10.54,32.08,54.84,66,51,7.0,broken clouds
72,Pevek,RU,2020-08-02 22:03:57,69.7,170.31,37.11,93,100,3.13,overcast clouds
73,Ancud,CL,2020-08-02 21:54:03,-41.87,-73.82,53.01,87,90,14.99,overcast clouds
74,Rawlins,US,2020-08-02 22:03:57,41.79,-107.24,87.8,14,20,6.93,few clouds
75,Airai,TL,2020-08-02 21:54:01,-8.93,125.41,52.0,92,55,2.59,broken clouds
76,Tura,IN,2020-08-02 22:02:09,25.52,90.22,77.56,83,39,1.9,scattered clouds
77,Doha,QA,2020-08-02 22:01:23,25.29,51.53,96.01,75,0,4.7,clear sky
78,Karaton,ID,2020-08-02 22:03:58,-6.34,106.1,77.0,83,40,5.82,haze
79,Garowe,SO,2020-08-02 22:03:58,8.41,48.48,79.14,44,3,16.13,clear sky
80,Izhmorskiy,RU,2020-08-02 22:03:58,56.19,86.64,55.65,94,0,3.85,clear sky
81,Cayenne,GF,2020-08-02 21:54:26,4.93,-52.33,84.2,70,45,2.24,scattered clouds
82,Kalmunai,LK,2020-08-02 22:01:21,7.42,81.82,80.46,68,100,6.24,overcast clouds
83,Jamestown,US,2020-08-02 22:03:58,42.1,-79.24,73.0,83,90,17.22,light rain
84,Mayo,US,2020-08-02 22:03:59,38.89,-76.51,93.2,52,20,10.29,light rain
85,Willmar,US,2020-08-02 22:00:46,45.12,-95.04,75.2,41,40,10.29,scattered clouds
86,Kovdor,RU,2020-08-02 21:59:08,67.57,30.48,43.21,92,49,0.51,scattered clouds
87,Severo-Kurilsk,RU,2020-08-02 21:59:06,50.68,156.12,53.51,90,100,9.55,light rain
88,Souillac,MU,2020-08-02 22:03:59,-20.52,57.52,69.8,68,75,12.75,broken clouds
89,Kruisfontein,ZA,2020-08-02 22:03:59,-34.0,24.73,57.69,40,0,3.4,clear sky
90,Caravelas,BR,2020-08-02 22:03:59,-17.71,-39.25,70.81,68,11,10.83,few clouds
91,Zhigansk,RU,2020-08-02 22:04:00,66.77,123.37,56.64,62,100,13.49,overcast clouds
92,Kaseda,JP,2020-08-02 22:04:00,31.42,130.32,69.8,100,75,3.36,fog
93,Puri,IN,2020-08-02 22:04:00,19.8,85.85,80.6,94,75,5.82,haze
94,Khatanga,RU,2020-08-02 22:04:00,71.97,102.5,63.27,71,50,5.97,scattered clouds
95,Faanui,PF,2020-08-02 22:04:00,-16.48,-151.75,78.46,79,100,10.67,overcast clouds
96,Tasiilaq,GL,2020-08-02 22:04:00,65.61,-37.64,48.2,61,9,16.11,clear sky
97,Busselton,AU,2020-08-02 22:04:01,-33.65,115.33,43.0,98,20,4.29,few clouds
98,Omboue,GA,2020-08-02 22:04:01,-1.57,9.26,73.27,73,70,6.49,broken clouds
99,Rawson,AR,2020-08-02 22:04:01,-43.3,-65.1,52.68,43,0,9.28,clear sky
100,Bandarbeyla,SO,2020-08-02 21:59:08,9.49,50.81,78.31,70,0,29.97,clear sky
101,Castro,BR,2020-08-02 22:00:21,-24.79,-50.01,54.64,71,0,3.76,clear sky
102,College,US,2020-08-02 22:04:02,64.86,-147.8,71.6,59,40,4.7,shower rain
103,Sambava,MG,2020-08-02 22:04:02,-14.27,50.17,71.49,83,100,20.62,light rain
104,Kapoeta,SS,2020-08-02 22:04:02,4.77,33.59,75.74,66,26,3.42,scattered clouds
105,Katsuura,JP,2020-08-02 22:04:02,35.13,140.3,77.0,89,8,4.92,clear sky
106,Strezhevoy,RU,2020-08-02 21:59:56,60.73,77.59,66.2,77,37,6.71,scattered clouds
107,Hammerfest,NO,2020-08-02 22:04:02,70.66,23.68,48.2,81,1,9.17,clear sky
108,Cape Town,ZA,2020-08-02 22:01:13,-33.93,18.42,61.0,87,0,12.75,clear sky
109,Red Bluff,US,2020-08-02 22:03:03,40.18,-122.24,102.99,16,1,9.17,clear sky
110,Raudeberg,NO,2020-08-02 22:04:03,61.99,5.14,53.6,87,75,9.17,shower rain
111,Chokurdakh,RU,2020-08-02 22:04:03,70.63,147.92,49.73,63,100,3.56,overcast clouds
112,Constitucion,CL,2020-08-02 22:04:03,-35.33,-72.42,55.09,90,1,6.51,clear sky
113,Nanortalik,GL,2020-08-02 21:54:05,60.14,-45.24,47.12,92,65,11.9,broken clouds
114,San Clemente,US,2020-08-02 22:04:03,33.43,-117.61,84.99,80,7,4.0,clear sky
115,Vao,NC,2020-08-02 21:54:07,-22.67,167.48,67.17,70,2,15.55,clear sky
116,New Norfolk,AU,2020-08-02 22:04:03,-42.78,147.06,45.0,80,80,1.99,light rain
117,Palmerston,AU,2020-08-02 22:04:03,-12.49,130.98,68.0,72,40,4.7,scattered clouds
118,Sabha,LY,2020-08-02 22:01:33,27.04,14.43,85.46,15,0,7.78,clear sky
119,Agadez,NE,2020-08-02 22:04:04,19.75,10.25,93.31,23,56,9.6,broken clouds
120,Belmonte,BR,2020-08-02 22:04:04,-15.86,-38.88,73.4,64,40,6.93,scattered clouds
121,Beloha,MG,2020-08-02 21:54:11,-25.17,45.05,62.04,74,0,15.66,clear sky
122,Burlington,US,2020-08-02 22:00:53,39.88,-74.64,93.2,55,75,21.92,broken clouds
123,Atuona,PF,2020-08-02 22:04:04,-9.8,-139.03,78.66,78,13,17.69,few clouds
124,Bogdanovich,RU,2020-08-02 22:04:04,56.78,62.05,61.34,92,93,7.34,overcast clouds
125,Sinnamary,GF,2020-08-02 21:54:06,5.38,-52.95,79.47,84,68,9.91,light rain
126,Fairbanks,US,2020-08-02 22:04:04,64.84,-147.72,71.6,68,1,8.05,clear sky
127,Belle Glade,US,2020-08-02 22:04:04,26.68,-80.67,84.99,84,100,10.0,overcast clouds
128,Yeppoon,AU,2020-08-02 22:04:05,-23.13,150.73,64.4,63,90,8.05,overcast clouds
129,Camacha,PT,2020-08-02 22:00:26,33.08,-16.33,69.8,73,40,9.17,scattered clouds
130,Union,US,2020-08-02 22:04:05,40.63,-74.27,93.99,44,40,12.75,scattered clouds
131,Arraial Do Cabo,BR,2020-08-02 22:04:05,-22.97,-42.03,68.0,64,2,3.36,clear sky
132,Mandalgovi,MN,2020-08-02 22:04:05,45.76,106.27,55.56,78,61,18.43,broken clouds
133,Harper,LR,2020-08-02 21:54:17,4.38,-7.72,73.42,76,94,5.95,overcast clouds
134,Padang,ID,2020-08-02 22:04:05,-0.95,100.35,76.53,78,66,5.06,broken clouds
135,Asau,RO,2020-08-02 22:04:05,46.43,26.4,53.01,93,0,1.95,clear sky
136,Lata,PT,2020-08-02 22:04:05,40.16,-8.33,64.99,75,71,5.99,broken clouds
137,Ust-Kut,RU,2020-08-02 22:04:06,56.79,105.77,55.65,80,0,3.83,clear sky
138,Kavieng,PG,2020-08-02 22:04:06,-2.57,150.8,83.07,76,16,6.93,few clouds
139,Gravdal,NO,2020-08-02 22:04:06,68.12,13.5,62.6,67,1,5.82,clear sky
140,Pasighat,IN,2020-08-02 22:04:06,28.07,95.33,78.64,77,0,2.33,clear sky
141,Port Lincoln,AU,2020-08-02 22:04:06,-34.73,135.87,51.98,76,100,10.04,overcast clouds
142,Road Town,VG,2020-08-02 22:00:55,18.42,-64.62,84.2,74,40,6.93,scattered clouds
143,Nikolskoye,RU,2020-08-02 22:04:07,59.7,30.79,59.0,87,90,3.51,light intensity shower rain
144,Dongsheng,CN,2020-08-02 22:00:41,39.82,109.98,64.81,49,0,2.84,clear sky
145,Qandala,SO,2020-08-02 22:04:07,11.47,49.87,90.19,46,61,9.78,broken clouds
146,Norman Wells,CA,2020-08-02 22:04:07,65.28,-126.83,75.2,64,20,5.82,few clouds
147,Cockburn Town,TC,2020-08-02 22:01:38,21.46,-71.14,82.26,83,0,17.38,clear sky
148,Fort Nelson,CA,2020-08-02 22:00:40,58.81,-122.7,78.8,36,40,5.82,scattered clouds
149,Polazna,RU,2020-08-02 22:04:07,58.29,56.41,55.4,87,40,8.95,scattered clouds
150,Launceston,AU,2020-08-02 22:04:07,-41.45,147.17,45.0,93,90,14.99,light intensity shower rain
151,Akyab,MM,2020-08-02 22:04:07,20.15,92.9,82.89,83,100,5.93,moderate rain
152,Hamilton,US,2020-08-02 21:59:36,39.18,-84.53,80.01,57,40,8.05,scattered clouds
153,Yulara,AU,2020-08-02 22:01:06,-25.24,130.99,41.0,27,0,5.82,clear sky
154,Half Moon Bay,US,2020-08-02 22:04:08,37.46,-122.43,79.0,64,20,10.29,few clouds
155,Taywarah,AF,2020-08-02 22:04:08,33.35,64.42,49.68,44,0,6.06,clear sky
156,Lubao,PH,2020-08-02 22:04:08,14.92,120.55,79.0,94,75,0.31,broken clouds
157,Mehamn,NO,2020-08-02 22:04:08,71.04,27.85,50.0,87,75,9.17,broken clouds
158,Barrow,US,2020-08-02 22:00:56,71.29,-156.79,41.0,75,90,11.41,overcast clouds
159,Kloulklubed,PW,2020-08-02 21:54:24,7.04,134.26,80.6,83,90,3.36,overcast clouds
160,Amapa,BR,2020-08-02 22:04:08,1.0,-52.0,74.8,93,40,3.15,light rain
161,Jalingo,NG,2020-08-02 22:04:09,8.88,11.37,73.2,93,100,7.23,moderate rain
162,Pitimbu,BR,2020-08-02 22:04:09,-7.47,-34.81,73.4,94,75,8.05,broken clouds
163,Carrollton,US,2020-08-02 22:03:45,32.95,-96.89,97.0,32,20,12.75,few clouds
164,Nadym,RU,2020-08-02 22:00:00,65.53,72.52,62.11,68,52,12.88,broken clouds
165,Saint-Philippe,RE,2020-08-02 22:04:09,-21.36,55.77,68.0,60,90,10.29,overcast clouds
166,Qaqortoq,GL,2020-08-02 22:04:09,60.72,-46.03,53.6,76,75,6.93,broken clouds
